Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Manipulation: Spreadsheet
8,1680210137790,30/03/2023 21:02:17,1680188537790,-6,30/03/2023 09:02:17,127819,12,task-t5nj,,28558389,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,collocation,7,BCA,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,7626.130999904635,7615.245000000003,7626.130999904635,7626.130999904635,7615.245000000003,7626.130999904635,1,7626.130999904635,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
9,1680210145710,30/03/2023 21:02:25,1680188545710,-6,30/03/2023 09:02:25,127819,12,task-t5nj,,28558389,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,collocation,7,BCA,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,7930.4859999284745,7914.959999999999,7930.4859999284745,7930.4859999284745,7914.959999999999,7930.4859999284745,1,7930.4859999284745,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
10,1680210164165,30/03/2023 21:02:44,1680188564165,-6,30/03/2023 09:02:44,127819,12,task-t5nj,,28558389,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,collocation,7,BCA,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,18470.22599997616,18463.369000000006,18470.22599997616,18470.22599997616,18463.369000000006,18470.22599997616,1,18470.22599997616,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
11,1680210175751,30/03/2023 21:02:55,1680188575751,-6,30/03/2023 09:02:55,127819,12,task-t5nj,,28558389,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,collocation,7,BCA,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,11593.15699992847,11580.967999999993,11593.15699992847,11593.15699992847,11580.967999999993,11593.15699992847,1,11593.15699992847,0,0,,Click Response,Response,2,object-5,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
12,1680210175754,30/03/2023 21:02:55,1680188575754,-6,30/03/2023 09:02:55,127819,12,task-t5nj,,28558389,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,collocation,7,BCA,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680210234721,30/03/2023 21:03:54,1680188634721,-6,30/03/2023 09:03:54,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680210254192,30/03/2023 21:04:14,1680188654192,-6,30/03/2023 09:04:14,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,19504.396,19499.945,19504.396,19504.396,19499.945,19504.396,1,19504.396,0,0,,Click Response,Response,2,object-5,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
3,1680210268665,30/03/2023 21:04:28,1680188668665,-6,30/03/2023 09:04:28,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,14476.75099999702,14466.835,14476.75099999702,14476.75099999702,14466.835,14476.75099999702,1,14476.75099999702,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
4,1680210277423,30/03/2023 21:04:37,1680188677423,-6,30/03/2023 09:04:37,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,8768.816000002982,8766.722000000002,8768.816000002982,8768.816000002982,8766.722000000002,8768.816000002982,1,8768.816000002982,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
5,1680210281887,30/03/2023 21:04:41,1680188681887,-6,30/03/2023 09:04:41,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,4465.894,4449.8110000000015,4465.894,4465.894,4449.8110000000015,4465.894,1,4465.894,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
6,1680210292567,30/03/2023 21:04:52,1680188692567,-6,30/03/2023 09:04:52,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,10696.882999997018,10683.445999999996,10696.882999997018,10696.882999997018,10683.445999999996,10696.882999997018,1,10696.882999997018,0,0,,Click Response,Response,2,object-5,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
7,1680210299486,30/03/2023 21:04:59,1680188699486,-6,30/03/2023 09:04:59,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,6933.037000005963,6916.713000000003,6933.037000005963,6933.037000005963,6916.713000000003,6933.037000005963,1,6933.037000005963,0,0,,Click Response,Response,3,object-6,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
8,1680210307751,30/03/2023 21:05:07,1680188707751,-6,30/03/2023 09:05:07,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,8280.723999997019,8266.733999999997,8280.723999997019,8280.723999997019,8266.733999999997,8280.723999997019,1,8280.723999997019,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
9,1680210310862,30/03/2023 21:05:10,1680188710862,-6,30/03/2023 09:05:10,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,3125.090000005963,3116.6570000000065,3125.090000005963,3125.090000005963,3116.6570000000065,3125.090000005963,1,3125.090000005963,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
10,1680210321174,30/03/2023 21:05:21,1680188721174,-6,30/03/2023 09:05:21,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,10320.332999997016,10316.546000000002,10320.332999997016,10320.332999997016,10316.546000000002,10320.332999997016,1,10320.332999997016,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
11,1680210330175,30/03/2023 21:05:30,1680188730175,-6,30/03/2023 09:05:30,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,9004.986999999994,9000.05399999999,9004.986999999994,9004.986999999994,9000.05399999999,9004.986999999994,1,9004.986999999994,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
12,1680210330177,30/03/2023 21:05:30,1680188730177,-6,30/03/2023 09:05:30,127819,12,task-t5nj,,28558499,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,collocation,7,BAC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680210384997,30/03/2023 21:06:24,1680188784997,-6,30/03/2023 09:06:24,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680210390580,30/03/2023 21:06:30,1680188790580,-6,30/03/2023 09:06:30,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,5625.09,5614.284,5625.09,5625.09,5614.284,5625.09,1,5625.09,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
3,1680210408766,30/03/2023 21:06:48,1680188808766,-6,30/03/2023 09:06:48,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,18199.706000095368,18192.97,18199.706000095368,18199.706000095368,18192.97,18199.706000095368,1,18199.706000095368,0,0,,Click Response,Response,3,object-6,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
4,1680210411338,30/03/2023 21:06:51,1680188811338,-6,30/03/2023 09:06:51,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,2578.2360000953668,2565.776999999998,2578.2360000953668,2578.2360000953668,2565.776999999998,2578.2360000953668,1,2578.2360000953668,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
5,1680210419057,30/03/2023 21:06:59,1680188819057,-6,30/03/2023 09:06:59,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,7730.123,7713.5610000000015,7730.123,7730.123,7713.5610000000015,7730.123,1,7730.123,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
6,1680210436537,30/03/2023 21:07:16,1680188836537,-6,30/03/2023 09:07:16,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,17495.498,17493.214,17495.498,17495.498,17493.214,17495.498,1,17495.498,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
7,1680210470026,30/03/2023 21:07:50,1680188870026,-6,30/03/2023 09:07:50,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,33491.88399990463,33487.225000000006,33491.88399990463,33491.88399990463,33487.225000000006,33491.88399990463,1,33491.88399990463,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
8,1680210474449,30/03/2023 21:07:54,1680188874449,-6,30/03/2023 09:07:54,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,4426.85899995231,4415.2149999999965,4426.85899995231,4426.85899995231,4415.2149999999965,4426.85899995231,1,4426.85899995231,0,0,,Click Response,Response,2,object-5,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
9,1680210484665,30/03/2023 21:08:04,1680188884665,-6,30/03/2023 09:08:04,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,10227.843999999997,10212.635999999999,10227.843999999997,10227.843999999997,10212.635999999999,10227.843999999997,1,10227.843999999997,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
10,1680210499833,30/03/2023 21:08:19,1680188899833,-6,30/03/2023 09:08:19,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,15183.207999999999,15177.634000000005,15183.207999999999,15183.207999999999,15177.634000000005,15183.207999999999,1,15183.207999999999,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
11,1680210513090,30/03/2023 21:08:33,1680188913090,-6,30/03/2023 09:08:33,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,13263.173999904626,13261.369999999995,13263.173999904626,13263.173999904626,13261.369999999995,13263.173999904626,1,13263.173999904626,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
12,1680210513107,30/03/2023 21:08:33,1680188913107,-6,30/03/2023 09:08:33,127819,12,task-t5nj,,28558628,BLIND,8491572,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1304x665,,collocation,7,CBA,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680210498151,30/03/2023 21:08:18,1680188898151,-6,30/03/2023 09:08:18,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680210507451,30/03/2023 21:08:27,1680188907451,-6,30/03/2023 09:08:27,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,9308.553000023841,9306.779999999999,9308.553000023841,9308.553000023841,9306.779999999999,9308.553000023841,1,9308.553000023841,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
3,1680210515208,30/03/2023 21:08:35,1680188915208,-6,30/03/2023 09:08:35,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,7759.673000000001,7743.807999999999,7759.673000000001,7759.673000000001,7743.807999999999,7759.673000000001,1,7759.673000000001,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
4,1680210520283,30/03/2023 21:08:40,1680188920283,-6,30/03/2023 09:08:40,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,5090.664999952318,5079.560000000001,5090.664999952318,5090.664999952318,5079.560000000001,5090.664999952318,1,5090.664999952318,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
5,1680210524597,30/03/2023 21:08:44,1680188924597,-6,30/03/2023 09:08:44,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,4325.405000023842,4312.596000000001,4325.405000023842,4325.405000023842,4312.596000000001,4325.405000023842,1,4325.405000023842,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
6,1680210530776,30/03/2023 21:08:50,1680188930776,-6,30/03/2023 09:08:50,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,6191.309000023841,6178.480999999996,6191.309000023841,6191.309000023841,6178.480999999996,6191.309000023841,1,6191.309000023841,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
7,1680210537743,30/03/2023 21:08:57,1680188937743,-6,30/03/2023 09:08:57,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,6980.328000023845,6977.470000000001,6980.328000023845,6980.328000023845,6977.470000000001,6980.328000023845,1,6980.328000023845,0,0,,Click Response,Response,2,object-5,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
8,1680210539024,30/03/2023 21:08:59,1680188939024,-6,30/03/2023 09:08:59,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,1281.9859999999971,1265.5550000000003,1281.9859999999971,1281.9859999999971,1265.5550000000003,1281.9859999999971,1,1281.9859999999971,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
9,1680210540867,30/03/2023 21:09:00,1680188940867,-6,30/03/2023 09:09:00,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,1861.4029999284758,1848.5950000000012,1861.4029999284758,1861.4029999284758,1848.5950000000012,1861.4029999284758,1,1861.4029999284758,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
10,1680210541276,30/03/2023 21:09:01,1680188941276,-6,30/03/2023 09:09:01,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,421.20800002384203,416.21800000000076,421.20800002384203,421.20800002384203,416.21800000000076,421.20800002384203,1,421.20800002384203,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
11,1680210541672,30/03/2023 21:09:01,1680188941672,-6,30/03/2023 09:09:01,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,401.1899999523157,399.58400000000256,401.1899999523157,401.1899999523157,399.58400000000256,401.1899999523157,1,401.1899999523157,0,0,,Click Response,Response,2,object-5,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
12,1680210541673,30/03/2023 21:09:01,1680188941673,-6,30/03/2023 09:09:01,127819,12,task-t5nj,,28558720,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,collocation,7,CBA,BA,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680200404253,30/03/2023 18:20:04,1680189604253,-3,30/03/2023 12:20:04,127819,12,task-t5nj,,28559471,BLIND,8492129,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1600x900,1543x789,,collocation,7,BCA,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680200425836,30/03/2023 18:20:25,1680189625836,-3,30/03/2023 12:20:25,127819,12,task-t5nj,,28559471,BLIND,8492129,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1600x900,1543x789,,collocation,7,BCA,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,21591.675999952316,21583.576,21591.675999952316,21591.675999952316,21583.576,21591.675999952316,1,21591.675999952316,0,0,,Click Response,Response,2,object-5,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
3,1680200457489,30/03/2023 18:20:57,1680189657489,-3,30/03/2023 12:20:57,127819,12,task-t5nj,,28559471,BLIND,8492129,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1600x900,1543x789,,collocation,7,BCA,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,31660.199999856948,31650.327,31660.199999856948,31660.199999856948,31650.327,31660.199999856948,1,31660.199999856948,0,0,,Click Response,Response,3,object-6,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
4,1680200471698,30/03/2023 18:21:11,1680189671698,-3,30/03/2023 12:21:11,127819,12,task-t5nj,,28559471,BLIND,8492129,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1600x900,1543x789,,collocation,7,BCA,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,14218.972999999998,14216.800999999992,14218.972999999998,14218.972999999998,14216.800999999992,14218.972999999998,1,14218.972999999998,0,0,,Click Response,Response,3,object-6,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
5,1680200483150,30/03/2023 18:21:23,1680189683150,-3,30/03/2023 12:21:23,127819,12,task-t5nj,,28559471,BLIND,8492129,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1600x900,1543x789,,collocation,7,BCA,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,11454.37200004769,11450.12400000001,11454.37200004769,11454.37200004769,11450.12400000001,11454.37200004769,1,11454.37200004769,0,0,,Click Response,Response,2,object-5,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
6,1680200495731,30/03/2023 18:21:35,1680189695731,-3,30/03/2023 12:21:35,127819,12,task-t5nj,,28559471,BLIND,8492129,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1600x900,1543x789,,collocation,7,BCA,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,12584.947999856944,12583.380999999994,12584.947999856944,12584.947999856944,12583.380999999994,12584.947999856944,1,12584.947999856944,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
