Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: item,Spreadsheet: ANSWER,Spreadsheet: targetresponse,Spreadsheet: type,Manipulation: Spreadsheet,Store: Accuracy,Store: incorrect
11,1680011516834,28/03/2023 13:51:56,1680015116834,1,28/03/2023 15:51:56,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,9,main,main,l6tere,1,response,cross.png,1058.911000095366,1049.9579999999987,1058.911000095366,1058.911000095366,1049.9579999999987,1058.911000095366,1,0,1058.911000095366,0,0,,Click Response,Response,2,object-19,main,2,purrage,cross.png,non,non,,,
12,1680011518733,28/03/2023 13:51:58,1680015118733,1,28/03/2023 15:51:58,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,10,main,main,l6tere,1,response,cross.png,1907.653000143051,1899.923999999999,1907.653000143051,1907.653000143051,1899.923999999999,1907.653000143051,0,0,1907.653000143051,0,0,,Click Response,Response,2,object-19,main,2,scholar,tick.png,word,word,,,
13,1680011520417,28/03/2023 13:52:00,1680015120417,1,28/03/2023 15:52:00,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,11,main,main,l6tere,1,response,tick.png,1691.928999952317,1684.0219999999972,1691.928999952317,1691.928999952317,1684.0219999999972,1691.928999952317,1,0,1691.928999952317,0,0,,Click Response,Response,1,object-18,main,2,turmoil,tick.png,word,word,,,
14,1680011521617,28/03/2023 13:52:01,1680015121617,1,28/03/2023 15:52:01,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,12,main,main,l6tere,1,response,cross.png,1208.1070000000036,1199.9520000000048,1208.1070000000036,1208.1070000000036,1199.9520000000048,1208.1070000000036,0,0,1208.1070000000036,0,0,,Click Response,Response,2,object-19,main,2,listless,tick.png,word,word,,,
15,1680011522635,28/03/2023 13:52:02,1680015122635,1,28/03/2023 15:52:02,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,13,main,main,l6tere,1,response,tick.png,1026.5550000953663,1016.6260000000038,1026.5550000953663,1026.5550000953663,1016.6260000000038,1026.5550000953663,1,0,1026.5550000953663,0,0,,Click Response,Response,1,object-18,main,2,majestic,tick.png,word,word,,,
16,1680011523549,28/03/2023 13:52:03,1680015123549,1,28/03/2023 15:52:03,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,14,main,main,l6tere,1,response,cross.png,923.7290000476787,916.6299999999901,923.7290000476787,923.7290000476787,916.6299999999901,923.7290000476787,1,0,923.7290000476787,0,0,,Click Response,Response,2,object-19,main,2,pulsh,cross.png,non,non,,,
17,1680011524581,28/03/2023 13:52:04,1680015124581,1,28/03/2023 15:52:04,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,15,main,main,l6tere,1,response,cross.png,1039.399000000005,1033.2920000000013,1039.399000000005,1039.399000000005,1033.2920000000013,1039.399000000005,1,0,1039.399000000005,0,0,,Click Response,Response,2,object-19,main,2,rebondicate,cross.png,non,non,,,
18,1680011525352,28/03/2023 13:52:05,1680015125352,1,28/03/2023 15:52:05,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,16,main,main,l6tere,1,response,cross.png,776.8070000476873,766.6359999999986,776.8070000476873,776.8070000476873,766.6359999999986,776.8070000476873,1,0,776.8070000476873,0,0,,Click Response,Response,2,object-19,main,2,pudour,cross.png,non,non,,,
19,1680011526938,28/03/2023 13:52:06,1680015126938,1,28/03/2023 15:52:06,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,17,main,main,l6tere,1,response,tick.png,1595.8710000953724,1583.270000000004,1595.8710000953724,1595.8710000953724,1583.270000000004,1595.8710000953724,1,0,1595.8710000953724,0,0,,Click Response,Response,1,object-18,main,2,ablaze,tick.png,word,word,,,
20,1680011528000,28/03/2023 13:52:08,1680015128000,1,28/03/2023 15:52:08,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,18,main,main,l6tere,1,response,cross.png,1075.201000000001,1066.6239999999962,1075.201000000001,1075.201000000001,1066.6239999999962,1075.201000000001,1,0,1075.201000000001,0,0,,Click Response,Response,2,object-19,main,2,interfate,cross.png,non,non,,,
21,1680011528999,28/03/2023 13:52:08,1680015128999,1,28/03/2023 15:52:08,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,19,main,main,l6tere,1,response,cross.png,1007.3769999523211,1000.7200000000012,1007.3769999523211,1007.3769999523211,1000.7200000000012,1007.3769999523211,1,0,1007.3769999523211,0,0,,Click Response,Response,2,object-19,main,2,fellick,cross.png,non,non,,,
22,1680011530082,28/03/2023 13:52:10,1680015130082,1,28/03/2023 15:52:10,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,20,main,main,l6tere,1,response,tick.png,1089.5570000476873,1083.2900000000081,1089.5570000476873,1089.5570000476873,1083.2900000000081,1089.5570000476873,1,0,1089.5570000476873,0,0,,Click Response,Response,1,object-18,main,2,nourishment,tick.png,word,word,,,
23,1680011531316,28/03/2023 13:52:11,1680015131316,1,28/03/2023 15:52:11,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,21,main,main,l6tere,1,response,tick.png,1239.8669999523117,1233.2839999999997,1239.8669999523117,1239.8669999523117,1233.2839999999997,1239.8669999523117,1,0,1239.8669999523117,0,0,,Click Response,Response,1,object-18,main,2,festivity,tick.png,word,word,,,
24,1680011532232,28/03/2023 13:52:12,1680015132232,1,28/03/2023 15:52:12,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,22,main,main,l6tere,1,response,tick.png,923.0829999523121,916.6299999999901,923.0829999523121,923.0829999523121,916.6299999999901,923.0829999523121,1,0,923.0829999523121,0,0,,Click Response,Response,1,object-18,main,2,upkeep,tick.png,word,word,,,
25,1680011533052,28/03/2023 13:52:13,1680015133052,1,28/03/2023 15:52:13,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,23,main,main,l6tere,1,response,tick.png,826.2530001430569,816.6340000000055,826.2530001430569,826.2530001430569,816.6340000000055,826.2530001430569,1,0,826.2530001430569,0,0,,Click Response,Response,1,object-18,main,2,allied,tick.png,word,word,,,
26,1680011534169,28/03/2023 13:52:14,1680015134169,1,28/03/2023 15:52:14,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,24,main,main,l6tere,1,response,cross.png,1126.4190000953677,1116.622000000003,1126.4190000953677,1126.4190000953677,1116.622000000003,1126.4190000953677,1,0,1126.4190000953677,0,0,,Click Response,Response,2,object-19,main,2,abergy,cross.png,non,non,,,
27,1680011535351,28/03/2023 13:52:15,1680015135351,1,28/03/2023 15:52:15,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,25,main,main,l6tere,1,response,tick.png,1192.2970000953646,1183.2859999999928,1192.2970000953646,1192.2970000953646,1183.2859999999928,1192.2970000953646,1,0,1192.2970000953646,0,0,,Click Response,Response,1,object-18,main,2,screech,tick.png,word,word,,,
28,1680011536219,28/03/2023 13:52:16,1680015136219,1,28/03/2023 15:52:16,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,26,main,main,l6tere,1,response,tick.png,877.1110000000044,866.6319999999978,877.1110000000044,877.1110000000044,866.6319999999978,877.1110000000044,1,0,877.1110000000044,0,0,,Click Response,Response,1,object-18,main,2,muddy,tick.png,word,word,,,
29,1680011536952,28/03/2023 13:52:16,1680015136952,1,28/03/2023 15:52:16,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,27,main,main,l6tere,1,response,tick.png,743.0790001430578,733.3040000000037,743.0790001430578,743.0790001430578,733.3040000000037,743.0790001430578,1,0,743.0790001430578,0,0,,Click Response,Response,1,object-18,main,2,fluid,tick.png,word,word,,,
30,1680011537882,28/03/2023 13:52:17,1680015137882,1,28/03/2023 15:52:17,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,28,main,main,l6tere,1,response,tick.png,940.0750000953703,933.2960000000021,940.0750000953703,940.0750000953703,933.2960000000021,940.0750000953703,1,0,940.0750000953703,0,0,,Click Response,Response,1,object-18,main,2,rascal,tick.png,word,word,,,
31,1680011539416,28/03/2023 13:52:19,1680015139416,1,28/03/2023 15:52:19,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,29,main,main,l6tere,1,response,cross.png,1540.479000143052,1534.0380000000005,1540.479000143052,1540.479000143052,1534.0380000000005,1540.479000143052,1,0,1540.479000143052,0,0,,Click Response,Response,2,object-19,main,2,plaudate,cross.png,non,non,,,
32,1680011540301,28/03/2023 13:52:20,1680015140301,1,28/03/2023 15:52:20,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,30,main,main,l6tere,1,response,tick.png,891.4410001430515,883.2979999999952,891.4410001430515,891.4410001430515,883.2979999999952,891.4410001430515,1,0,891.4410001430515,0,0,,Click Response,Response,1,object-18,main,2,censorship,tick.png,word,word,,,
33,1680011541632,28/03/2023 13:52:21,1680015141632,1,28/03/2023 15:52:21,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,31,main,main,l6tere,1,response,tick.png,1339.3429999523214,1333.2799999999988,1339.3429999523214,1339.3429999523214,1333.2799999999988,1339.3429999523214,1,0,1339.3429999523214,0,0,,Click Response,Response,1,object-18,main,2,fray,tick.png,word,word,,,
34,1680011543033,28/03/2023 13:52:23,1680015143033,1,28/03/2023 15:52:23,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,32,main,main,l6tere,1,response,cross.png,1407.1630000953737,1399.9440000000031,1407.1630000953737,1407.1630000953737,1399.9440000000031,1407.1630000953737,1,0,1407.1630000953737,0,0,,Click Response,Response,2,object-19,main,2,magrity,cross.png,non,non,,,
35,1680011545183,28/03/2023 13:52:25,1680015145183,1,28/03/2023 15:52:25,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,33,main,main,l6tere,1,response,cross.png,2157.819000000003,2149.9140000000043,2157.819000000003,2157.819000000003,2149.9140000000043,2157.819000000003,1,0,2157.819000000003,0,0,,Click Response,Response,2,object-19,main,2,alberation,cross.png,non,non,,,
36,1680011546166,28/03/2023 13:52:26,1680015146166,1,28/03/2023 15:52:26,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,34,main,main,l6tere,1,response,tick.png,990.4049999999988,983.2939999999944,990.4049999999988,990.4049999999988,983.2939999999944,990.4049999999988,1,0,990.4049999999988,0,0,,Click Response,Response,1,object-18,main,2,eloquence,tick.png,word,word,,,
37,1680011547017,28/03/2023 13:52:27,1680015147017,1,28/03/2023 15:52:27,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,35,main,main,l6tere,1,response,tick.png,858.5110000953719,849.9660000000149,858.5110000953719,858.5110000953719,849.9660000000149,858.5110000953719,1,0,858.5110000953719,0,0,,Click Response,Response,1,object-18,main,2,hasty,tick.png,word,word,,,
38,1680011548115,28/03/2023 13:52:28,1680015148115,1,28/03/2023 15:52:28,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,36,main,main,l6tere,1,response,cross.png,1106.045000095357,1099.9559999999765,1106.045000095357,1106.045000095357,1099.9559999999765,1106.045000095357,1,0,1106.045000095357,0,0,,Click Response,Response,2,object-19,main,2,kilp,cross.png,non,non,,,
39,1680011549635,28/03/2023 13:52:29,1680015149635,1,28/03/2023 15:52:29,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,37,main,main,l6tere,1,response,tick.png,1526.5890000953805,1517.3650000000198,1526.5890000953805,1526.5890000953805,1517.3650000000198,1526.5890000953805,1,0,1526.5890000953805,0,0,,Click Response,Response,1,object-18,main,2,savoury,tick.png,word,word,,,
40,1680011551067,28/03/2023 13:52:31,1680015151067,1,28/03/2023 15:52:31,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,38,main,main,l6tere,1,response,tick.png,1441.3239999999932,1433.2759999999835,1441.3239999999932,1441.3239999999932,1433.2759999999835,1441.3239999999932,1,0,1441.3239999999932,0,0,,Click Response,Response,1,object-18,main,2,recipient,tick.png,word,word,,,
41,1680011552882,28/03/2023 13:52:32,1680015152882,1,28/03/2023 15:52:32,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,39,main,main,l6tere,1,response,tick.png,1823.2480000476935,1816.5940000000119,1823.2480000476935,1823.2480000476935,1816.5940000000119,1823.2480000476935,1,0,1823.2480000476935,0,0,,Click Response,Response,1,object-18,main,2,moonlit,tick.png,word,word,,,
42,1680011553753,28/03/2023 13:52:33,1680015153753,1,28/03/2023 15:52:33,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,40,main,main,l6tere,1,response,tick.png,876.8540000953653,866.6320000000123,876.8540000953653,876.8540000953653,866.6320000000123,876.8540000953653,1,0,876.8540000953653,0,0,,Click Response,Response,1,object-18,main,2,ingenious,tick.png,word,word,,,
43,1680011554567,28/03/2023 13:52:34,1680015154567,1,28/03/2023 15:52:34,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,41,main,main,l6tere,1,response,tick.png,824.9220001430367,816.6339999999909,824.9220001430367,824.9220001430367,816.6339999999909,824.9220001430367,1,0,824.9220001430367,0,0,,Click Response,Response,1,object-18,main,2,lengthy,tick.png,word,word,,,
44,1680011555369,28/03/2023 13:52:35,1680015155369,1,28/03/2023 15:52:35,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,42,main,main,l6tere,1,response,tick.png,810.3880000476784,799.9679999999935,810.3880000476784,810.3880000476784,799.9679999999935,810.3880000476784,1,0,810.3880000476784,0,0,,Click Response,Response,1,object-18,main,2,celestial,tick.png,word,word,,,
45,1680011556134,28/03/2023 13:52:36,1680015156134,1,28/03/2023 15:52:36,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,43,main,main,l6tere,1,response,tick.png,774.8200001430523,766.6359999999986,774.8200001430523,774.8200001430523,766.6359999999986,774.8200001430523,1,0,774.8200001430523,0,0,,Click Response,Response,1,object-18,main,2,slain,tick.png,word,word,,,
46,1680011557240,28/03/2023 13:52:37,1680015157240,1,28/03/2023 15:52:37,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,44,main,main,l6tere,1,response,cross.png,1114.6840001430537,1099.9560000000056,1114.6840001430537,1114.6840001430537,1099.9560000000056,1114.6840001430537,0,0,1114.6840001430537,0,0,,Click Response,Response,2,object-19,main,2,stoutly,tick.png,word,word,,,
47,1680011558199,28/03/2023 13:52:38,1680015158199,1,28/03/2023 15:52:38,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,45,main,main,l6tere,1,response,cross.png,973.627999999997,966.627999999997,973.627999999997,973.627999999997,966.627999999997,973.627999999997,0,0,973.627999999997,0,0,,Click Response,Response,2,object-19,main,2,scornful,tick.png,word,word,,,
48,1680011560599,28/03/2023 13:52:40,1680015160599,1,28/03/2023 15:52:40,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,46,main,main,l6tere,1,response,cross.png,2407.2999999523163,2399.9040000000095,2407.2999999523163,2407.2999999523163,2399.9040000000095,2407.2999999523163,1,0,2407.2999999523163,0,0,,Click Response,Response,2,object-19,main,2,crumper,cross.png,non,non,,,
49,1680011561549,28/03/2023 13:52:41,1680015161549,1,28/03/2023 15:52:41,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,47,main,main,l6tere,1,response,tick.png,957.4960000953579,949.9619999999995,957.4960000953579,957.4960000953579,949.9619999999995,957.4960000953579,1,0,957.4960000953579,0,0,,Click Response,Response,1,object-18,main,2,lofty,tick.png,word,word,,,
50,1680011563684,28/03/2023 13:52:43,1680015163684,1,28/03/2023 15:52:43,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,48,main,main,l6tere,1,response,tick.png,2142.433999952307,2133.2479999999923,2142.433999952307,2142.433999952307,2133.2479999999923,2142.433999952307,1,0,2142.433999952307,0,0,,Click Response,Response,1,object-18,main,2,plaintively,tick.png,word,word,,,
