Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
11,1680108418459,29/03/2023 16:46:58,1680094018459,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",action,value,1,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
12,1680108418461,29/03/2023 16:46:58,1680094018461,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,2,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
13,1680108418462,29/03/2023 16:46:58,1680094018462,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,What is your prolific id?,action,value,5b197b8088ee7400012ae154,,,Text Input,6,object-7
14,1680108418467,29/03/2023 16:46:58,1680094018467,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",response,value,Portuguese,,English|Spanish|Portuguese,Multiple Choice,1,object-2
15,1680108418470,29/03/2023 16:46:58,1680094018470,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",response,quantised,3,,English|Spanish|Portuguese,Multiple Choice,1,object-2
16,1680108418471,29/03/2023 16:46:58,1680094018471,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",response,value,Yes,,Yes|No,Multiple Choice,2,object-3
17,1680108418472,29/03/2023 16:46:58,1680094018472,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",response,quantised,1,,Yes|No,Multiple Choice,2,object-3
18,1680108418472,29/03/2023 16:46:58,1680094018472,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",response,value,11,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
19,1680108418474,29/03/2023 16:46:58,1680094018474,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",response,quantised,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
20,1680108418475,29/03/2023 16:46:58,1680094018475,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",response,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
21,1680108418476,29/03/2023 16:46:58,1680094018476,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",response,quantised,13,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
22,1680108418477,29/03/2023 16:46:58,1680094018477,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",response,value,1,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
23,1680108418478,29/03/2023 16:46:58,1680094018478,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",response,quantised,2,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
24,1680108418480,29/03/2023 16:46:58,1680094018480,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,What is your prolific id?,response,value,5b197b8088ee7400012ae154,,,Text Input,6,object-7
25,1680108418481,29/03/2023 16:46:58,1680094018481,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,,,,,,,END,,,,,
1,1680110517102,29/03/2023 17:21:57,1680096117102,-4,29/03/2023 09:21:57,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,,,,,,,BEGIN,,,,,
2,1680110548530,29/03/2023 17:22:28,1680096148530,-4,29/03/2023 09:22:28,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,,continue,,,,,screen,0,screen
3,1680110553574,29/03/2023 17:22:33,1680096153574,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,,continue,,,,,screen,0,screen
4,1680110553576,29/03/2023 17:22:33,1680096153576,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,value,English,,English|Spanish|Portuguese,Multiple Choice,1,object-2
5,1680110553576,29/03/2023 17:22:33,1680096153576,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,quantised,1,,English|Spanish|Portuguese,Multiple Choice,1,object-2
6,1680110553577,29/03/2023 17:22:33,1680096153577,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,value,Yes,,Yes|No,Multiple Choice,2,object-3
7,1680110553577,29/03/2023 17:22:33,1680096153577,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,quantised,1,,Yes|No,Multiple Choice,2,object-3
8,1680110553578,29/03/2023 17:22:33,1680096153578,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,value,2,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
9,1680110553578,29/03/2023 17:22:33,1680096153578,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,3,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
10,1680110553579,29/03/2023 17:22:33,1680096153579,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,value,3,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
11,1680110553579,29/03/2023 17:22:33,1680096153579,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,4,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
12,1680110553580,29/03/2023 17:22:33,1680096153580,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",action,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
13,1680110553581,29/03/2023 17:22:33,1680096153581,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,13,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
14,1680110553582,29/03/2023 17:22:33,1680096153582,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,What is your prolific id?,action,value,63e52f8ab3688f45f842114c,,,Text Input,6,object-7
15,1680110553583,29/03/2023 17:22:33,1680096153583,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",response,value,English,,English|Spanish|Portuguese,Multiple Choice,1,object-2
16,1680110553584,29/03/2023 17:22:33,1680096153584,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",response,quantised,1,,English|Spanish|Portuguese,Multiple Choice,1,object-2
17,1680110553584,29/03/2023 17:22:33,1680096153584,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",response,value,2,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
18,1680110553585,29/03/2023 17:22:33,1680096153585,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",response,quantised,3,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
19,1680110553585,29/03/2023 17:22:33,1680096153585,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",response,value,3,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
20,1680110553586,29/03/2023 17:22:33,1680096153586,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",response,quantised,4,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
21,1680110553586,29/03/2023 17:22:33,1680096153586,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",response,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
22,1680110553587,29/03/2023 17:22:33,1680096153587,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",response,quantised,13,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
23,1680110553599,29/03/2023 17:22:33,1680096153599,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,What is your prolific id?,response,value,63e52f8ab3688f45f842114c,,,Text Input,6,object-7
24,1680110553600,29/03/2023 17:22:33,1680096153600,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",response,value,Yes,,Yes|No,Multiple Choice,2,object-3
25,1680110553600,29/03/2023 17:22:33,1680096153600,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",response,quantised,1,,Yes|No,Multiple Choice,2,object-3
26,1680110553601,29/03/2023 17:22:33,1680096153601,-4,29/03/2023 09:22:33,127819,12,questionnaire-zbjj,,28525722,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Questionnaire,3,BAC,AB,,,,,,,END,,,,,
1,1680092564935,29/03/2023 12:22:44,1680096164935,1,29/03/2023 14:22:44,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,,,,,,,BEGIN,,,,,
2,1680092594824,29/03/2023 12:23:14,1680096194824,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,,continue,,,,,screen,0,screen
3,1680092594827,29/03/2023 12:23:14,1680096194827,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,value,English,,English|Spanish|Portuguese,Multiple Choice,1,object-2
4,1680092594828,29/03/2023 12:23:14,1680096194828,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,quantised,1,,English|Spanish|Portuguese,Multiple Choice,1,object-2
5,1680092594829,29/03/2023 12:23:14,1680096194829,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,value,Yes,,Yes|No,Multiple Choice,2,object-3
6,1680092594830,29/03/2023 12:23:14,1680096194830,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,quantised,1,,Yes|No,Multiple Choice,2,object-3
7,1680092594831,29/03/2023 12:23:14,1680096194831,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,value,0,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
8,1680092594832,29/03/2023 12:23:14,1680096194832,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,1,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
9,1680092594832,29/03/2023 12:23:14,1680096194832,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
10,1680092594833,29/03/2023 12:23:14,1680096194833,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,13,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
11,1680092594834,29/03/2023 12:23:14,1680096194834,1,29/03/2023 14:23:14,127819,12,questionnaire-zbjj,,28525759,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,Questionnaire,3,BCA,BA,Page 1,mowvol,1,"At what age did you become begin to learn **Portuguese**? Please select ""12"" if you began learning English at age 12 or later.",action,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,5,object-6
