Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: __EMPTY_3,Manipulation: Spreadsheet
9,1680110788471,29/03/2023 17:26:28,1680096388471,-4,29/03/2023 09:26:28,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,3702.245000000001,3695.050000000001,3702.245000000001,3702.245000000001,3695.050000000001,3702.245000000001,1,3702.245000000001,0,0,,Click Response,Response,3,object-6,main,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,1,,post,,,,
10,1680110800910,29/03/2023 17:26:40,1680096400910,-4,29/03/2023 09:26:40,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,12445.79499999404,12438.304,12445.79499999404,12445.79499999404,12438.304,12445.79499999404,1,12445.79499999404,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,1,,pre,El mismo presidente hablÃ³ con la clase.,,8,
11,1680110810079,29/03/2023 17:26:50,1680096410079,-4,29/03/2023 09:26:50,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,9176.19099999702,9169.480999999996,9176.19099999702,9176.19099999702,9169.480999999996,9176.19099999702,1,9176.19099999702,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,,pre,Las grandes obras son impresionantes.,,8,
12,1680110810081,29/03/2023 17:26:50,1680096410081,-4,29/03/2023 09:26:50,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680093283880,29/03/2023 12:34:43,1680096883880,1,29/03/2023 14:34:43,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680093302001,29/03/2023 12:35:02,1680096902001,1,29/03/2023 14:35:02,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,18130.737000286103,18128.936,18130.737000286103,18130.737000286103,18128.936,18130.737000286103,1,18130.737000286103,0,0,,Click Response,Response,2,object-5,main,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,1,,pre,El mismo presidente hablÃ³ con la clase.,,8,
3,1680093328230,29/03/2023 12:35:28,1680096928230,1,29/03/2023 14:35:28,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,26232.001000095366,26227.079999999998,26232.001000095366,26232.001000095366,26227.079999999998,26232.001000095366,1,26232.001000095366,0,0,,Click Response,Response,2,object-5,main,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,1,,post,,,,
4,1680093347174,29/03/2023 12:35:47,1680096947174,1,29/03/2023 14:35:47,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,18949.221000286103,18944.726000000002,18949.221000286103,18949.221000286103,18944.726000000002,18949.221000286103,1,18949.221000286103,0,0,,Click Response,Response,3,object-6,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
5,1680093351404,29/03/2023 12:35:51,1680096951404,1,29/03/2023 14:35:51,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,4234.095000190733,4232.4330000000045,4234.095000190733,4234.095000190733,4232.4330000000045,4234.095000190733,1,4234.095000190733,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,,pre,Las grandes obras son impresionantes.,,8,
6,1680093361414,29/03/2023 12:36:01,1680096961414,1,29/03/2023 14:36:01,127819,12,task-6yod,,28526212,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Interpretation,5,BCA,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,10012.262000095361,9997.195999999996,10012.262000095361,10012.262000095361,9997.195999999996,10012.262000095361,1,10012.262000095361,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,,pre,Mariela es una vieja amiga de Florencia.,,9,
