"","participant","choice.keys","prompt","correct","opt_a","correct_opt","pre_post","L1"
"25","5b883986f249560001686872","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"26","5b883986f249560001686872","0","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",0,"post","Portuguese"
"27","5b883986f249560001686872","1","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",0,"pre","Portuguese"
"28","5b883986f249560001686872","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"29","5b883986f249560001686872","0","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",0,"post","Portuguese"
"30","5b883986f249560001686872","1","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",0,"pre","Portuguese"
"31","5be42d273c3950000124f5ab","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"32","5be42d273c3950000124f5ab","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"33","5be42d273c3950000124f5ab","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"34","5be42d273c3950000124f5ab","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"35","5be42d273c3950000124f5ab","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"36","5be42d273c3950000124f5ab","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"37","5be42d273c3950000124f5ab","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"38","5be42d273c3950000124f5ab","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"39","5be42d273c3950000124f5ab","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"40","5be42d273c3950000124f5ab","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"41","5bf1a218f5e4460001e033c6","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"42","5bf1a218f5e4460001e033c6","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"43","5bf1a218f5e4460001e033c6","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"44","5bf1a218f5e4460001e033c6","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"45","5bf1a218f5e4460001e033c6","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"46","5bf1a218f5e4460001e033c6","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"47","5bf1a218f5e4460001e033c6","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"48","5bf1a218f5e4460001e033c6","0","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",1,"pre","Portuguese"
"49","5bf1a218f5e4460001e033c6","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"50","5bf1a218f5e4460001e033c6","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"51","5c198b6c749f990001f2491d","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"52","5c198b6c749f990001f2491d","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"53","5c198b6c749f990001f2491d","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"54","5c198b6c749f990001f2491d","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"55","5c198b6c749f990001f2491d","0","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",1,"pre","Portuguese"
"56","5c198b6c749f990001f2491d","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"57","5c198b6c749f990001f2491d","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"58","5c198b6c749f990001f2491d","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"59","5c198b6c749f990001f2491d","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"60","5c198b6c749f990001f2491d","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"61","5c1bb460a05a64000125c522","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"62","5c1bb460a05a64000125c522","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"63","5c1bb460a05a64000125c522","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"64","5c1bb460a05a64000125c522","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"65","5c1bb460a05a64000125c522","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"66","5c1bb460a05a64000125c522","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"67","5c1bb460a05a64000125c522","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"68","5c1bb460a05a64000125c522","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"69","5c1bb460a05a64000125c522","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"70","5c1bb460a05a64000125c522","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"71","5c1e6b9eaf2bd30001ecc163","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"72","5c1e6b9eaf2bd30001ecc163","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"73","5c1e6b9eaf2bd30001ecc163","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"74","5c1e6b9eaf2bd30001ecc163","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"75","5c1e6b9eaf2bd30001ecc163","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"76","5c1e6b9eaf2bd30001ecc163","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"77","5c1e6b9eaf2bd30001ecc163","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"78","5c1e6b9eaf2bd30001ecc163","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"79","5c1e6b9eaf2bd30001ecc163","0","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",1,"pre","Portuguese"
"80","5c1e6b9eaf2bd30001ecc163","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"81","5c3879f33c4f7e00011f7ed8","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"82","5c3879f33c4f7e00011f7ed8","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"83","5c3879f33c4f7e00011f7ed8","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"84","5c3879f33c4f7e00011f7ed8","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"85","5c3879f33c4f7e00011f7ed8","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"86","5c3879f33c4f7e00011f7ed8","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"87","5c3879f33c4f7e00011f7ed8","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"88","5c3879f33c4f7e00011f7ed8","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"89","5c3879f33c4f7e00011f7ed8","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"90","5c3879f33c4f7e00011f7ed8","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"91","5d3a11ab26ef9c0001d95a30","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"92","5d3a11ab26ef9c0001d95a30","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"93","5d3a11ab26ef9c0001d95a30","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"94","5d3a11ab26ef9c0001d95a30","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"95","5d3a11ab26ef9c0001d95a30","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"96","5d3a11ab26ef9c0001d95a30","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"97","5d3a11ab26ef9c0001d95a30","0","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",1,"pre","Portuguese"
"98","5d3a11ab26ef9c0001d95a30","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"99","5d3a11ab26ef9c0001d95a30","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"100","5d3a11ab26ef9c0001d95a30","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"101","5d8794b64a462d001a65469d","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"102","5d8794b64a462d001a65469d","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"103","5d8794b64a462d001a65469d","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"104","5d8794b64a462d001a65469d","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"105","5d8794b64a462d001a65469d","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"106","5d8794b64a462d001a65469d","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"107","5d8794b64a462d001a65469d","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"108","5d8794b64a462d001a65469d","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"109","5d8794b64a462d001a65469d","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"110","5d8794b64a462d001a65469d","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"111","5d8a6557302eee001a5b8385","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"112","5d8a6557302eee001a5b8385","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"113","5d8a6557302eee001a5b8385","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"114","5d8a6557302eee001a5b8385","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"115","5d8a6557302eee001a5b8385","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"116","5d8a6557302eee001a5b8385","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"117","5d8a6557302eee001a5b8385","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"118","5d8a6557302eee001a5b8385","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"119","5d8a6557302eee001a5b8385","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"120","5d8a6557302eee001a5b8385","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"121","5da5fdef9a9dc5001484350b","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"122","5da5fdef9a9dc5001484350b","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"123","5da5fdef9a9dc5001484350b","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"124","5da5fdef9a9dc5001484350b","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"125","5da5fdef9a9dc5001484350b","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"126","5da5fdef9a9dc5001484350b","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"127","5da5fdef9a9dc5001484350b","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"128","5da5fdef9a9dc5001484350b","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"129","5da5fdef9a9dc5001484350b","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"130","5da5fdef9a9dc5001484350b","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"131","5db9051361dab0000c7b51f4","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"132","5db9051361dab0000c7b51f4","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"133","5db9051361dab0000c7b51f4","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"134","5db9051361dab0000c7b51f4","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"135","5db9051361dab0000c7b51f4","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"136","5db9051361dab0000c7b51f4","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"137","5db9051361dab0000c7b51f4","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"138","5db9051361dab0000c7b51f4","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"139","5db9051361dab0000c7b51f4","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"140","5db9051361dab0000c7b51f4","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"141","5df801d601423f5ab3dcf859","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"142","5df801d601423f5ab3dcf859","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"143","5df801d601423f5ab3dcf859","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"144","5df801d601423f5ab3dcf859","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"145","5df801d601423f5ab3dcf859","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"146","5df801d601423f5ab3dcf859","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"147","5df801d601423f5ab3dcf859","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"148","5df801d601423f5ab3dcf859","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"149","5df801d601423f5ab3dcf859","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"150","5df801d601423f5ab3dcf859","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"151","5e5ba8c45cd2ad38c93ca999","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"152","5e5ba8c45cd2ad38c93ca999","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"153","5e5ba8c45cd2ad38c93ca999","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"154","5e5ba8c45cd2ad38c93ca999","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"155","5e5ba8c45cd2ad38c93ca999","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"156","5e5ba8c45cd2ad38c93ca999","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
