key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,1,8.8248,0,9,9,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,,,,,space,2.0004,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,0,8.2467,0,0,0,2,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,,,1,3.0215,0,1,1,7,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,,,1,4.2269,0,2,2,0,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,1,4.8689,0,3,3,8,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,1,7.1287,0,4,4,9,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,,,1,3.8947,0,5,5,5,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,,,1,4.2425,0,6,6,3,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,,,1,5.748,0,7,7,1,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,,,1,6.138,0,8,8,6,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,,,1,9.5337,0,9,9,4,1,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,space,3.7652
