Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: item,Spreadsheet: ANSWER,Spreadsheet: targetresponse,Spreadsheet: type,Manipulation: Spreadsheet,Store: Accuracy,Store: incorrect
12,1680011794003,28/03/2023 13:56:34,1680015394003,1,28/03/2023 15:56:34,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,10,main,main,l6tere,1,response,tick.png,959.1840000000011,951.0020000000004,959.1840000000011,959.1840000000011,951.0020000000004,959.1840000000011,1,0,959.1840000000011,0,0,,Click Response,Response,1,object-18,main,,2,inalação,tick.png,word,word,,,
13,1680011795253,28/03/2023 13:56:35,1680015395253,1,28/03/2023 15:56:35,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,11,main,main,l6tere,1,response,tick.png,1258.2819999046333,1249.9500000000007,1258.2819999046333,1258.2819999046333,1249.9500000000007,1258.2819999046333,1,0,1258.2819999046333,0,0,,Click Response,Response,1,object-18,main,,2,jusante,tick.png,word,word,,,
14,1680011796151,28/03/2023 13:56:36,1680015396151,1,28/03/2023 15:56:36,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,12,main,main,l6tere,1,response,tick.png,906.8319999046325,899.9639999999999,906.8319999046325,906.8319999046325,899.9639999999999,906.8319999046325,1,0,906.8319999046325,0,0,,Click Response,Response,1,object-18,main,,2,comunhão,tick.png,word,word,,,
15,1680011797419,28/03/2023 13:56:37,1680015397419,1,28/03/2023 15:56:37,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,13,main,main,l6tere,1,response,cross.png,1274.5679999523163,1266.6160000000018,1274.5679999523163,1274.5679999523163,1266.6160000000018,1274.5679999523163,1,0,1274.5679999523163,0,0,,Click Response,Response,2,object-19,main,,2,curvere,cross.png,non,non,,,
16,1680011798522,28/03/2023 13:56:38,1680015398522,1,28/03/2023 15:56:38,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,14,main,main,l6tere,1,response,cross.png,1110.7519999046308,1099.9559999999983,1110.7519999046308,1110.7519999046308,1099.9559999999983,1110.7519999046308,1,0,1110.7519999046308,0,0,,Click Response,Response,2,object-19,main,,2,piejo,cross.png,non,non,,,
17,1680011799903,28/03/2023 13:56:39,1680015399903,1,28/03/2023 15:56:39,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,15,main,main,l6tere,1,response,tick.png,1391.895999809265,1383.2779999999984,1391.895999809265,1391.895999809265,1383.2779999999984,1391.895999809265,1,0,1391.895999809265,0,0,,Click Response,Response,1,object-18,main,,2,careta,tick.png,word,word,,,
18,1680011800684,28/03/2023 13:56:40,1680015400684,1,28/03/2023 15:56:40,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,16,main,main,l6tere,1,response,tick.png,790.1179998092666,783.3019999999997,790.1179998092666,790.1179998092666,783.3019999999997,790.1179998092666,1,0,790.1179998092666,0,0,,Click Response,Response,1,object-18,main,,2,inferior,tick.png,word,word,,,
19,1680011801503,28/03/2023 13:56:41,1680015401503,1,28/03/2023 15:56:41,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,17,main,main,l6tere,1,response,tick.png,825.5159998569507,816.6340000000018,825.5159998569507,825.5159998569507,816.6340000000018,825.5159998569507,1,0,825.5159998569507,0,0,,Click Response,Response,1,object-18,main,,2,molecular,tick.png,word,word,,,
20,1680011804652,28/03/2023 13:56:44,1680015404652,1,28/03/2023 15:56:44,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,18,main,main,l6tere,1,response,cross.png,3157.881999856949,3150.6280000000006,3157.881999856949,3157.881999856949,3150.6280000000006,3157.881999856949,1,0,3157.881999856949,0,0,,Click Response,Response,2,object-19,main,,2,centiga,cross.png,non,non,,,
21,1680011805502,28/03/2023 13:56:45,1680015405502,1,28/03/2023 15:56:45,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,19,main,main,l6tere,1,response,tick.png,857.7539998569482,849.9660000000003,857.7539998569482,857.7539998569482,849.9660000000003,857.7539998569482,1,0,857.7539998569482,0,0,,Click Response,Response,1,object-18,main,,2,propósito,tick.png,word,word,,,
22,1680011806452,28/03/2023 13:56:46,1680015406452,1,28/03/2023 15:56:46,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,20,main,main,l6tere,1,response,tick.png,957.2879998569479,949.9619999999995,957.2879998569479,957.2879998569479,949.9619999999995,957.2879998569479,1,0,957.2879998569479,0,0,,Click Response,Response,1,object-18,main,,2,espólio,tick.png,word,word,,,
23,1680011807503,28/03/2023 13:56:47,1680015407503,1,28/03/2023 15:56:47,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,21,main,main,l6tere,1,response,cross.png,1058.6259998092646,1049.9579999999987,1058.6259998092646,1058.6259998092646,1049.9579999999987,1058.6259998092646,1,0,1058.6259998092646,0,0,,Click Response,Response,2,object-19,main,,2,sonila,cross.png,non,non,,,
24,1680011808586,28/03/2023 13:56:48,1680015408586,1,28/03/2023 15:56:48,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,22,main,main,l6tere,1,response,cross.png,1092.267999952317,1083.2900000000009,1092.267999952317,1092.267999952317,1083.2900000000009,1092.267999952317,1,0,1092.267999952317,0,0,,Click Response,Response,2,object-19,main,,2,vinhala,cross.png,non,non,,,
25,1680011809503,28/03/2023 13:56:49,1680015409503,1,28/03/2023 15:56:49,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,23,main,main,l6tere,1,response,tick.png,925.6779999999999,916.6299999999974,925.6779999999999,925.6779999999999,916.6299999999974,925.6779999999999,1,0,925.6779999999999,0,0,,Click Response,Response,1,object-18,main,,2,loucura,tick.png,word,word,,,
26,1680011810303,28/03/2023 13:56:50,1680015410303,1,28/03/2023 15:56:50,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,24,main,main,l6tere,1,response,tick.png,809.0480000000025,799.9680000000008,809.0480000000025,809.0480000000025,799.9680000000008,809.0480000000025,1,0,809.0480000000025,0,0,,Click Response,Response,1,object-18,main,,2,grato,tick.png,word,word,,,
27,1680011811151,28/03/2023 13:56:51,1680015411151,1,28/03/2023 15:56:51,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,25,main,main,l6tere,1,response,tick.png,856.5800000000017,849.9660000000003,856.5800000000017,856.5800000000017,849.9660000000003,856.5800000000017,1,0,856.5800000000017,0,0,,Click Response,Response,1,object-18,main,,2,cadente,tick.png,word,word,,,
28,1680011812070,28/03/2023 13:56:52,1680015412070,1,28/03/2023 15:56:52,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,26,main,main,l6tere,1,response,tick.png,925.6140000000014,916.6300000000047,925.6140000000014,925.6140000000014,916.6300000000047,925.6140000000014,1,0,925.6140000000014,0,0,,Click Response,Response,1,object-18,main,,2,avesso,tick.png,word,word,,,
29,1680011812819,28/03/2023 13:56:52,1680015412819,1,28/03/2023 15:56:52,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,27,main,main,l6tere,1,response,tick.png,758.4839999999967,749.9699999999939,758.4839999999967,758.4839999999967,749.9699999999939,758.4839999999967,1,0,758.4839999999967,0,0,,Click Response,Response,1,object-18,main,,2,descarga,tick.png,word,word,,,
30,1680011813934,28/03/2023 13:56:53,1680015413934,1,28/03/2023 15:56:53,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,28,main,main,l6tere,1,response,cross.png,1123.5140000000029,1116.622000000003,1123.5140000000029,1123.5140000000029,1116.622000000003,1123.5140000000029,1,0,1123.5140000000029,0,0,,Click Response,Response,2,object-19,main,,2,durarma,cross.png,non,non,,,
31,1680011815039,28/03/2023 13:56:55,1680015415039,1,28/03/2023 15:56:55,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,29,main,main,l6tere,1,response,cross.png,1112.191999952316,1101.1959999999963,1112.191999952316,1112.191999952316,1101.1959999999963,1112.191999952316,0,0,1112.191999952316,0,0,,Click Response,Response,2,object-19,main,,2,retruque,tick.png,word,word,,,
32,1680011816037,28/03/2023 13:56:56,1680015416037,1,28/03/2023 15:56:56,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,30,main,main,l6tere,1,response,tick.png,1008.6960000000036,999.9600000000064,1008.6960000000036,1008.6960000000036,999.9600000000064,1008.6960000000036,1,0,1008.6960000000036,0,0,,Click Response,Response,1,object-18,main,,2,cicatriz,tick.png,word,word,,,
33,1680011817053,28/03/2023 13:56:57,1680015417053,1,28/03/2023 15:56:57,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,31,main,main,l6tere,1,response,cross.png,1023.135999856946,1016.6259999999966,1023.135999856946,1023.135999856946,1016.6259999999966,1023.135999856946,1,0,1023.135999856946,0,0,,Click Response,Response,2,object-19,main,,2,golabo,cross.png,non,non,,,
34,1680011817884,28/03/2023 13:56:57,1680015417884,1,28/03/2023 15:56:57,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,32,main,main,l6tere,1,response,tick.png,839.2099999046332,833.3000000000029,839.2099999046332,839.2099999046332,833.3000000000029,839.2099999046332,1,0,839.2099999046332,0,0,,Click Response,Response,1,object-18,main,,2,evidência,tick.png,word,word,,,
35,1680011818652,28/03/2023 13:56:58,1680015418652,1,28/03/2023 15:56:58,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,33,main,main,l6tere,1,response,tick.png,774.3099999999977,766.6359999999986,774.3099999999977,774.3099999999977,766.6359999999986,774.3099999999977,1,0,774.3099999999977,0,0,,Click Response,Response,1,object-18,main,,2,retórica,tick.png,word,word,,,
36,1680011819418,28/03/2023 13:56:59,1680015419418,1,28/03/2023 15:56:59,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,34,main,main,l6tere,1,response,tick.png,772.9739999523154,766.6359999999986,772.9739999523154,772.9739999523154,766.6359999999986,772.9739999523154,1,0,772.9739999523154,0,0,,Click Response,Response,1,object-18,main,,2,remoto,tick.png,word,word,,,
37,1680011820437,28/03/2023 13:57:00,1680015420437,1,28/03/2023 15:57:00,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,35,main,main,l6tere,1,response,cross.png,1025.9379998569493,1016.6260000000038,1025.9379998569493,1025.9379998569493,1016.6260000000038,1025.9379998569493,1,0,1025.9379998569493,0,0,,Click Response,Response,2,object-19,main,,2,âncorre,cross.png,non,non,,,
38,1680011821703,28/03/2023 13:57:01,1680015421703,1,28/03/2023 15:57:01,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,36,main,main,l6tere,1,response,cross.png,1275.211999952313,1266.6159999999945,1275.211999952313,1275.211999952313,1266.6159999999945,1275.211999952313,1,0,1275.211999952313,0,0,,Click Response,Response,2,object-19,main,,2,farneiza,cross.png,non,non,,,
39,1680011822667,28/03/2023 13:57:02,1680015422667,1,28/03/2023 15:57:02,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,37,main,main,l6tere,1,response,tick.png,972.8959999046347,966.6280000000042,972.8959999046347,972.8959999046347,966.6280000000042,972.8959999046347,1,0,972.8959999046347,0,0,,Click Response,Response,1,object-18,main,,2,infinito,tick.png,word,word,,,
40,1680011823634,28/03/2023 13:57:03,1680015423634,1,28/03/2023 15:57:03,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,38,main,main,l6tere,1,response,cross.png,973.367999809263,966.627999999997,973.367999809263,973.367999809263,966.627999999997,973.367999809263,1,0,973.367999809263,0,0,,Click Response,Response,2,object-19,main,,2,clamode,cross.png,non,non,,,
41,1680011824584,28/03/2023 13:57:04,1680015424584,1,28/03/2023 15:57:04,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,39,main,main,l6tere,1,response,tick.png,956.239999809266,949.9619999999995,956.239999809266,956.239999809266,949.9619999999995,956.239999809266,1,0,956.239999809266,0,0,,Click Response,Response,1,object-18,main,,2,pífaro,tick.png,word,word,,,
42,1680011825584,28/03/2023 13:57:05,1680015425584,1,28/03/2023 15:57:05,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,40,main,main,l6tere,1,response,cross.png,1006.2779998092665,999.9599999999991,1006.2779998092665,1006.2779998092665,999.9599999999991,1006.2779998092665,1,0,1006.2779998092665,0,0,,Click Response,Response,2,object-19,main,,2,barrasa,cross.png,non,non,,,
43,1680011826501,28/03/2023 13:57:06,1680015426501,1,28/03/2023 15:57:06,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,41,main,main,l6tere,1,response,tick.png,923.8179998092673,916.6300000000047,923.8179998092673,923.8179998092673,916.6300000000047,923.8179998092673,1,0,923.8179998092673,0,0,,Click Response,Response,1,object-18,main,,2,leopardo,tick.png,word,word,,,
44,1680011827453,28/03/2023 13:57:07,1680015427453,1,28/03/2023 15:57:07,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,42,main,main,l6tere,1,response,tick.png,959.1879998092627,949.9619999999995,959.1879998092627,959.1879998092627,949.9619999999995,959.1879998092627,1,0,959.1879998092627,0,0,,Click Response,Response,1,object-18,main,,2,tenro,tick.png,word,word,,,
45,1680011828705,28/03/2023 13:57:08,1680015428705,1,28/03/2023 15:57:08,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,43,main,main,l6tere,1,response,cross.png,1260.7259998092632,1249.949999999997,1260.7259998092632,1260.7259998092632,1249.949999999997,1260.7259998092632,1,0,1260.7259998092632,0,0,,Click Response,Response,2,object-19,main,,2,ferata,cross.png,non,non,,,
46,1680011829551,28/03/2023 13:57:09,1680015429551,1,28/03/2023 15:57:09,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,44,main,main,l6tere,1,response,tick.png,856.5760000000009,849.9660000000003,856.5760000000009,856.5760000000009,849.9660000000003,856.5760000000009,0,0,856.5760000000009,0,0,,Click Response,Response,1,object-18,main,,2,fumbão,cross.png,non,non,,,
47,1680011830887,28/03/2023 13:57:10,1680015430887,1,28/03/2023 15:57:10,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,45,main,main,l6tere,1,response,tick.png,1342.7099999046332,1333.2799999999988,1342.7099999046332,1342.7099999046332,1333.2799999999988,1342.7099999046332,1,0,1342.7099999046332,0,0,,Click Response,Response,1,object-18,main,,2,pálido,tick.png,word,word,,,
48,1680011831735,28/03/2023 13:57:11,1680015431735,1,28/03/2023 15:57:11,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,46,main,main,l6tere,1,response,tick.png,857.5299998092669,849.9660000000003,857.5299998092669,857.5299998092669,849.9660000000003,857.5299998092669,1,0,857.5299998092669,0,0,,Click Response,Response,1,object-18,main,,2,vagabundo,tick.png,word,word,,,
49,1680011832485,28/03/2023 13:57:12,1680015432485,1,28/03/2023 15:57:12,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,47,main,main,l6tere,1,response,tick.png,757.3640000000014,749.9700000000012,757.3640000000014,757.3640000000014,749.9700000000012,757.3640000000014,1,0,757.3640000000014,0,0,,Click Response,Response,1,object-18,main,,2,relatório,tick.png,word,word,,,
